,title,company,expirence,salary,location,skill,date
3508,Senior Analyst - Data Science - IIT/ NIT/ IIM/ Xlri/ FMS,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,Gurgaon,"['IT Skills', 'Python', 'Machine Learning', 'Tableau', 'Data Science', 'SAS', 'Tableau', 'Machine Learning']",2 DAYS AGO
3509,Data Science/ Scientist - Python/ Deep Learning,New Era India,7-12 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'AWS', 'Data Science', 'Java', 'C++']",2 DAYS AGO
3510,Artificial Intelligence/Machine learning/Data Science,Spectrum Consultants India Pvt Ltd.,8-13 Yrs,Not disclosed,Bengaluru,"['Computer science', 'Electrical engineering', 'deep learning', 'Literature', 'data science', 'Artificial Intelligence', 'Machine learning', 'Silicon']",11 DAYS AGO
3511,Senior Software Developer - NLP / Machine Learning /Data Science,Cunesoft,5-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'Project Management', 'Product Management', 'Azure', 'BPO']",12 DAYS AGO
3512,Software Developer - NLP/ Data Science/ Machine Learning,Cunesoft,3-8 Yrs,Not disclosed,Bengaluru,"['IT Skills', 'Java', 'Python', 'Cloud', 'Project Management', 'Product Management', 'Azure', 'BPO']",12 DAYS AGO
3513,"Internship in Data Science, AI and Machine Learning - Online",www.iibmindia.in,0-5 Yrs,Not disclosed,"Mumbai, Bengaluru, Hyderabad","['IT Skills', 'Data Science', 'Data Science', 'fresher', 'any graduate', 'Online', 'Internship', 'work from home']",6 DAYS AGO
3514,Senior Analyst / Assistant Manager Data Science,Latent view,3-8 Yrs,Not disclosed,Chennai,"['Text mining', 'Analyst', 'data science', 'Business analysis', 'Machine learning', 'QlikView', 'Data mining', 'Analytics']",2 DAYS AGO
3515,Data Science Internship,Data Trained Education,0-1 Yrs,Not disclosed,"Ghaziabad, Delhi NCR, Noida","['Data Science', 'Machine Learning', 'Deep Learning', 'Predictive Modeling', 'NLP', 'Classification', 'Hadoop', 'Tableau']",12 DAYS AGO
3516,"Computer Science Faculty For B.Tech (AI, ML, IoT, Data Science)",Vision Group of Institutions,0-5 Yrs,"1,25,000 - 1,50,000 PA.","Aligarh, Kanpur","['Java', 'software', 'Artificial Intelligence', 'Programming', 'topper', 'Machine Learning', 'computer sciene & engineering', 'IOT']",13 DAYS AGO
3517,Data Analyst - Data Science,DataToBiz,3-7 Yrs,Not disclosed,Chandigarh,"['IT Skills', 'Python', 'Cloud', 'Oracle', 'AWS', 'Tableau', 'Power BI', 'DataLake']",5 DAYS AGO
